date,sales
2023-01-01,100.0
2023-01-02,93.52810469193533
2023-01-03,84.97560863947625
2023-01-04,78.4355237437401
2023-01-05,75.07375776776901
2023-01-06,71.30149797129205
2023-01-07,62.21679241441002
2023-01-08,57.8952900080202
2023-01-09,51.803046590622785
2023-01-10,46.41630422797339
2023-01-11,42.5958708090528
2023-01-12,38.62437087046928
2023-01-13,37.6704807973483
2023-01-14,35.42550816790746
2023-01-15,32.126307384102375
2023-01-16,29.80140311118299
2023-01-17,27.488611454813224
2023-01-18,27.727908455647114
2023-01-19,24.5448010825508
2023-01-20,22.716456377597524
2023-01-21,18.736619261234324
2023-01-22,11.756977703442734
2023-01-23,11.888517123979183
2023-01-24,12.428537809300277
2023-01-25,9.701353987557367
2023-01-26,13.270727836776846
2023-01-27,9.034923703901633
2023-01-28,8.222948368114363
2023-01-29,7.0262858312512595
2023-01-30,9.38921567684305
2023-01-31,11.389011648959315
2023-02-01,10.560005335457216
2023-02-02,10.260329841115842
2023-02-03,7.458725361744033
2023-02-04,2.7512598891217763
2023-02-05,1.7803096015572937
2023-02-06,1.9149765796095246
2023-02-07,4.184060283104014
2023-02-08,6.170413952362435
2023-02-09,4.778718922310287
2023-02-10,3.6962415289285873
2023-02-11,1.2295114459015433
2023-02-12,-1.7334755730465614
2023-02-13,-4.9726683969919305
2023-02-14,-0.5738507668291586
2023-02-15,-1.5357700536495498
2023-02-16,-2.2583416515069676
2023-02-17,-4.538098206456123
2023-02-18,-2.5293076741466907
2023-02-19,-5.504172601847925
2023-02-20,-5.37923590209107
2023-02-21,-6.632245434269315
2023-02-22,-5.19521589512386
2023-02-23,-5.69730458074922
2023-02-24,-7.488838490919123
2023-02-25,-6.79631909850452
2023-02-26,-5.260023447593233
2023-02-27,-4.600986658067574
2023-02-28,-3.5359441967812533
2023-03-01,-4.450993964465055
2023-03-02,-4.731376899992825
2023-03-03,-5.603160105545445
2023-03-04,-5.761950418071984
2023-03-05,-6.812047940353694
2023-03-06,-9.583408350981678
2023-03-07,-8.270215231376005
2023-03-08,-8.246755580654929
2023-03-09,-10.682476716521526
2023-03-10,-8.688664533817825
2023-03-11,-9.634394809202526
2023-03-12,-8.567064536689996
2023-03-13,-6.252176958665923
2023-03-14,-5.36899344128451
2023-03-15,-2.5532927280694575
2023-03-16,-4.767615095969817
2023-03-17,-3.4861703040177376
2023-03-18,-4.5071734554965905
2023-03-19,-5.798050408310695
2023-03-20,-6.375944697008457
2023-03-21,-6.361455291562357
2023-03-22,-5.612979077946631
2023-03-23,-7.38198085171868
2023-03-24,-4.842129792638438
2023-03-25,-3.426591933913675
2023-03-26,-6.156420113076755
2023-03-27,-2.5642737141778804
2023-03-28,1.483932009301074
2023-03-29,3.6930979506902677
2023-03-30,2.9639384839965395
2023-03-31,0.5260393925758007
2023-04-01,2.582338907180494
2023-04-02,1.5177511225160853
2023-04-03,3.810866151029332
2023-04-04,3.846329492080119
2023-04-05,5.414974615839533
2023-04-06,5.586209948604384
2023-04-07,6.440735290127842
2023-04-08,5.817661802556699
2023-04-09,8.807636610112699
2023-04-10,8.18069713450867
