Theta,MAE,MSE,R2
0.2,0.7161540620483913,0.8138196013332923,0.030802051636990457
0.4,0.7348316793846017,0.8743267042878564,0.07398794070404235
0.6,0.8699744659421212,1.1743169722662514,0.17763154353417177
0.8,0.7074301590530926,0.7904108005066712,0.41425328332293176
-0.2,0.8754763441477009,1.1465508328627632,0.0055398387714071795
-0.4,0.738112034280825,0.8337559712853602,0.14033710475740724
-0.6,0.8326162145603219,1.096131160933021,0.29864511442556463
-0.8,0.7364458755684237,0.9097131472814892,0.39620604492247313
0.5,0.7866882421440995,0.878931330554859,0.23695263352835239
-0.5,0.7764512298322082,0.9509849753687284,0.1832980761196421
