date,sales,forecast_sales
2023-04-01,2.582338907180494,
2023-04-02,1.5177511225160853,
2023-04-03,3.810866151029332,
2023-04-04,3.846329492080119,
2023-04-05,5.414974615839533,
2023-04-06,5.586209948604384,
2023-04-07,6.440735290127842,
2023-04-08,5.817661802556699,
2023-04-09,8.807636610112699,
2023-04-10,8.18069713450867,
2023-04-11,,7.420781155296674
2023-04-12,,6.718192734357732
2023-04-13,,6.068607118656701
2023-04-14,,5.46802581166366
2023-04-15,,4.9127519607791905
2023-04-16,,4.399367601516007
2023-04-17,,3.924712618364447
2023-04-18,,3.4858652928363436
2023-04-19,,3.080124318951581
2023-04-20,,2.704992175464442
